game_pk,game_date,entry_ts,entry_mid,entry_spread,entry_depth_ratio,entry_inning,entry_score_diff,home_favored,home_won,pnl,sim_filled_60s,sim_fill_price,sim_fill_time
823244,2026-03-26,1774486123,0.22,0.020000000000000018,0.37045826708118756,2,-1,0,0,-0.22,1,0.22,1.0
823649,2026-03-26,1774536318,0.52,0.020000000000000018,0.3653187689356051,,,1,1,0.48,0,,
823812,2026-03-26,1774549339,0.59,0.020000000000000018,0.3944825919127367,1,-1,1,1,0.41000000000000003,1,0.42000000000000004,54.0
824704,2026-03-26,1774540794,0.675,0.010000000000000009,0.3995077692824135,,,1,0,-0.675,1,0.68,2.0
824865,2026-03-26,1774540794,0.5700000000000001,0.019999999999999907,0.39958488101427436,,,1,1,0.42999999999999994,0,,
824218,2026-03-26,1774556912,0.63,0.020000000000000018,0.3713312101319418,1,0,1,0,-0.63,1,0.38,1.0
824541,2026-03-26,1774556389,0.445,0.010000000000000009,0.22872735013514123,1,0,0,0,-0.445,1,0.45,2.0
823325,2026-03-26,1774547724,0.46499999999999997,0.009999999999999953,0.3672248868631197,,,0,0,-0.46499999999999997,1,0.47,12.0
823486,2026-03-26,1774545299,0.585,0.010000000000000009,0.395198795329393,,,1,1,0.41500000000000004,1,0.59,0.0
823081,2026-03-26,1774556689,0.445,0.010000000000000009,0.20130385342926072,1,0,0,1,0.5549999999999999,1,0.45,0.0
823163,2026-03-27,1774578235,0.635,0.010000000000000009,0.3957799886632396,1,-1,1,0,-0.635,1,0.64,7.0
823243,2026-03-27,1774644536,0.44,0.020000000000000018,0.24642349730247054,2,0,0,0,-0.44,0,,
823893,2026-03-27,1774642654,0.635,0.010000000000000009,0.3988216846033224,,,1,1,0.365,1,0.64,3.0
824946,2026-03-27,1774641638,0.565,0.009999999999999898,0.3857275316045098,,,1,1,0.43500000000000005,1,0.57,3.0
822839,2026-03-27,1774642495,0.61,0.020000000000000018,0.38673913603657273,,,1,1,0.39,0,,
824216,2026-03-28,1774658528,0.555,0.010000000000000009,0.3798976062571618,2,0,1,0,-0.555,1,0.56,6.0
823324,2026-03-28,1774662588,0.595,0.010000000000000009,0.22722204255869607,1,0,1,0,-0.595,1,0.41000000000000003,6.0
823162,2026-03-28,1774663083,0.575,0.010000000000000009,0.39434831394318787,1,-1,1,1,0.42500000000000004,1,0.58,8.0
823971,2026-03-28,1774653007,0.685,0.009999999999999898,0.3374074036008212,,,1,1,0.31499999999999995,1,0.69,0.0
823082,2026-03-28,1774710305,0.505,0.010000000000000009,0.3655259897666856,,,1,1,0.495,1,0.51,16.0
824701,2026-03-28,1774712840,0.675,0.010000000000000009,0.3786157611312958,,,1,1,0.32499999999999996,1,0.68,0.0
822838,2026-03-28,1774717506,0.645,0.010000000000000009,0.388266786861979,,,1,1,0.355,1,0.65,0.0
